Time,temp,hum,press,gas/1000,lux,co2
2020-09-01 15:50:16,22.67,49.124,991.11,8.451,49.4,633.0
2020-09-01 16:00:17,23.34,48.274,991.01,23.11,352.8,659.0
2020-09-01 16:17:16,23.94,52.412,990.57,23.939,68.7,922.0
2020-09-01 16:27:17,24.45,51.211,990.54,35.796,67.1,845.0
2020-09-01 16:37:16,24.78,50.324,990.53,42.512,65.0,817.0
2020-09-01 16:47:16,25.03,49.73,990.48,47.47,61.3,802.0
2020-09-01 16:57:17,25.22,49.238,990.48,51.152,57.5,793.0
2020-09-01 17:07:16,25.37,48.902,990.41,54.764,52.9,778.0
2020-09-01 17:17:16,25.47,48.522,990.36,57.668,48.2,761.0
2020-09-01 17:27:17,25.55,48.307,990.38,59.938,43.6,747.0
2020-09-01 17:37:17,25.61,48.141,990.35,62.07,39.2,730.0
2020-09-01 17:47:17,25.77,47.556,990.35,64.508,34.7,715.0
2020-09-01 17:57:18,25.88,47.416,990.3,66.559,30.1,705.0
2020-09-01 18:07:16,25.96,47.112,990.33,68.576,25.7,692.0
2020-09-01 18:17:18,26.01,47.085,990.3,70.009,22.0,687.0
2020-09-01 18:27:16,26.04,47.069,990.27,71.139,8.8,684.0
2020-09-01 18:37:17,26.05,47.095,990.34,72.431,13.9,685.0
2020-09-01 18:47:26,26.07,47.085,990.34,72.745,11.8,685.0
2020-09-01 18:57:27,26.08,47.262,990.29,73.318,5.5,697.0
2020-09-01 19:07:28,26.08,47.353,990.28,73.705,5.3,714.0
2020-09-01 19:17:27,26.09,47.399,990.34,73.901,4.2,730.0
2020-09-01 19:27:26,26.08,47.48,990.37,73.576,3.7,767.0
2020-09-01 19:37:28,26.08,47.577,990.46,74.162,3.5,799.0
2020-09-01 19:47:28,26.08,47.601,990.49,74.492,3.0,829.0
2020-09-01 19:57:29,26.08,47.607,990.53,74.36,1.8,858.0
2020-09-01 20:07:27,26.07,47.639,990.48,74.36,1.4,891.0
2020-09-01 20:17:26,26.06,47.647,990.54,74.031,0.9,912.0
2020-09-01 20:27:27,26.03,47.646,990.58,73.835,0.5,912.0
2020-09-01 20:37:27,26.01,47.613,990.63,74.558,0.5,913.0
2020-09-01 20:47:26,25.99,47.57,990.66,75.431,0.5,911.0
2020-09-01 20:57:27,25.95,47.527,990.74,76.325,0.5,914.0
2020-09-01 21:07:27,25.92,47.635,990.78,77.027,0.5,912.0
2020-09-01 21:17:27,25.91,47.698,990.79,77.887,0.5,926.0
2020-09-01 21:27:27,25.88,47.702,990.87,78.692,0.5,940.0
2020-09-01 21:37:27,25.87,47.656,990.86,79.063,0.5,969.0
2020-09-01 21:47:27,25.87,47.571,990.89,79.589,0.5,993.0
2020-09-01 21:57:27,25.85,47.519,990.87,80.507,0.5,1015.0
2020-09-01 22:07:27,25.82,47.397,990.85,81.21,0.5,1035.0
2020-09-01 22:17:27,25.8,47.445,990.86,81.368,0.5,1058.0
2020-09-01 22:27:28,25.78,47.427,990.92,81.21,0.5,1078.0
2020-09-01 22:37:27,25.76,47.478,990.93,81.765,0.5,1091.0
2020-09-01 22:47:27,25.73,47.484,991.04,82.327,0.5,1095.0
2020-09-01 22:57:27,25.7,47.485,991.09,82.898,0.5,1085.0
2020-09-01 23:07:27,25.66,47.378,991.0,83.894,0.5,1080.0
2020-09-01 23:17:27,25.63,47.302,991.01,84.658,0.5,1072.0
2020-09-01 23:27:27,25.59,47.2,991.08,85.785,0.5,1062.0
2020-09-01 23:37:26,25.56,47.234,991.27,86.673,0.5,1051.0
2020-09-01 23:47:27,25.52,47.182,991.28,87.396,0.5,1041.0
2020-09-01 23:57:26,25.48,47.179,991.29,88.318,0.5,1033.0
2020-09-02 00:07:27,25.45,47.163,991.33,89.069,0.5,1026.0
2020-09-02 00:17:27,25.4,47.25,991.32,89.93,0.5,1021.0
2020-09-02 00:27:27,25.37,47.027,991.33,90.611,0.5,1022.0
2020-09-02 00:37:27,25.33,47.106,991.35,91.402,0.5,1019.0
2020-09-02 00:47:27,25.29,46.954,991.38,92.005,0.5,1021.0
2020-09-02 00:57:26,25.24,47.031,991.38,93.546,0.5,1023.0
2020-09-02 01:07:27,25.2,46.986,991.37,93.966,0.5,1025.0
2020-09-02 01:17:27,25.15,46.967,991.43,94.177,0.5,1027.0
2020-09-02 01:27:27,25.1,46.998,991.43,95.14,0.5,1033.0
2020-09-02 01:37:27,25.04,47.037,991.43,94.74,0.5,1036.0
2020-09-02 01:47:27,24.99,47.064,991.47,95.17,0.5,1040.0
2020-09-02 01:57:27,24.94,47.093,991.48,96.044,0.5,1045.0
2020-09-02 02:07:27,24.89,47.13,991.53,96.375,0.5,1049.0
2020-09-02 02:17:27,24.84,47.179,991.5,97.384,0.5,1054.0
2020-09-02 02:27:27,24.79,47.235,991.58,97.44,0.5,1061.0
2020-09-02 02:37:27,24.75,47.282,991.68,98.011,0.5,1064.0
2020-09-02 02:47:27,24.69,47.316,991.69,98.529,0.5,1066.0
2020-09-02 02:57:27,24.64,47.362,991.65,99.525,0.5,1069.0
2020-09-02 03:07:27,24.59,47.399,991.67,99.702,0.5,1072.0
2020-09-02 03:17:26,24.53,47.46,991.68,100.299,0.5,1077.0
2020-09-02 03:27:26,24.48,47.495,991.69,101.147,0.5,1077.0
2020-09-02 03:37:26,24.43,47.508,991.72,101.331,0.5,1078.0
2020-09-02 03:47:27,24.38,47.547,991.7,101.886,0.5,1078.0
2020-09-02 03:57:26,24.32,47.574,991.63,102.824,0.5,1077.0
2020-09-02 04:07:26,24.28,47.587,991.6,103.523,0.5,1075.0
2020-09-02 04:17:26,24.23,47.611,991.56,103.779,0.5,1075.0
2020-09-02 04:27:26,24.17,47.628,991.53,104.102,0.5,1075.0
2020-09-02 04:37:27,24.13,47.643,991.54,104.884,0.5,1073.0
2020-09-02 04:47:27,24.08,47.656,991.49,105.28,0.5,1074.0
2020-09-02 04:57:26,24.02,47.666,991.37,106.08,0.5,1071.0
2020-09-02 05:07:27,23.98,47.688,991.42,106.349,0.5,1070.0
2020-09-02 05:17:27,23.94,47.726,991.38,106.824,0.5,1070.0
2020-09-02 05:27:27,23.89,47.731,991.4,107.579,0.5,1069.0
2020-09-02 05:37:27,23.83,47.742,991.38,108.065,1.2,1069.0
2020-09-02 05:47:27,23.78,47.793,991.33,108.274,0.9,1069.0
2020-09-02 05:57:27,23.74,47.868,991.27,109.334,1.4,1067.0
2020-09-02 06:07:27,23.7,48.28,991.18,108.908,2.5,1070.0
2020-09-02 06:17:26,23.7,49.867,991.26,106.756,2.8,1087.0
2020-09-02 06:27:27,23.67,50.5,991.25,103.973,3.5,1099.0
2020-09-02 06:37:27,23.64,50.693,991.3,104.95,4.4,1107.0
2020-09-02 06:47:27,23.61,50.887,991.36,103.973,4.6,1123.0
2020-09-02 06:57:26,23.58,50.844,991.39,104.492,5.8,1127.0
2020-09-02 07:07:26,23.55,50.837,991.33,104.102,6.2,1130.0
2020-09-02 07:17:27,23.52,50.817,991.35,104.167,6.2,1136.0
